index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct
405,Nuts & Seeds Bar,Snacks & Branded Foods,Breakfast Cereals,RiteBite Max Protein,36.0,40.0,Granola & Cereal Bars,3.8,"A NUTTY TREAT: A the crunch of almonds and cashews in each bite and a kick of health with pumpkin seeds and flax seeds. To add on to this, this great combination is formulated WITH NO ADDED SUGAR NUTRITION AND MORE: With cashews and almonds that are rich in zinc and magnesium and source of other micronutrients. Dark chocolate that serves as a mood elevator and aids stress management, Oats that delivers Fibre and quinoa provides sustained energy with Low GI. A product with clean and natural ingredients and no preservatives and the benefits of flax seeds that are a good source of Omerag-3 fatty acids and pumpkin seeds that improves heart health.  YOUR GO-TO SNACK: A pack full of goodness for all your sweet cravings. No more guilt for your midnight binge or when you have a craving for something sweet. This little pack can get you through all those tiring commutes or even those quick exercise sessions. We have got you covered. MADE IN INDIA: We are truly local & Proudly Vocal about it.",36.0,36.0,10.0
423,Truffel - Caramel,Snacks & Branded Foods,Chocolates & Candies,Dukes,190.0,200.0,Chocolates,3.7,"Make every moment sweeter by treating your senses to the deliciousness of a caramel centre, wrapped within creamy milk chocolate. Rejoice with loved ones by indulging in a Truffle, and revel in the generous blend of taste and texture.",190.0,190.0,5.0
431,"Peanut Butter - Unsweetened, Crunchy",Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Happy Jars,275.0,275.0,Choco & Nut Spread,3.8,"If you like it healthy & intensely crunchy, this one's for you. 100% roasted peanut goodness, the Pure Peanut Crunchy is high on protein and mixed in with even more peanuts to give it that delectable crunch. With 30% more protein content, it's great before or after a workout. Peanut butter can be used as a spread on bread and chapati. It is rich in protein and Vitamin B6. It can be used as part of fitness diets and for those who want a diet rich in protein.",275.0,275.0,0.0
446,Namkeen - Flattend Rice Mixture,Snacks & Branded Foods,Snacks & Namkeen,Sln  ,38.0,38.0,Namkeen & Savoury Snacks,4.0,"SLN Namkeens are made by combining the freshest of ingredients with a traditional recipe. They are perfect to relish as a snack, with your evening tea or coffee and can also be used in chaat for added flavour or to customise it as per your liking.",38.0,38.0,0.0
466,"Ready Mix - Kheer, Vermicelli",Snacks & Branded Foods,Ready To Cook & Eat,Gits,53.0,60.0,Dessert Mixes,4.3,Gits present their exotic range of sweet dishes and desserts which are ready to make and are ideal for those kitty parties and get togethers that require you to rake up quick snacks and recipes. Experience the rich and smooth flavours encompass your mouth and tastebuds in every bite and it is sure to become a favourite among your family and friends.,53.0,53.0,11.666666666666666
474,Organic Rasam Ready Mix - Long Pepper,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,85.0,85.0,Breakfast & Snack Mixes,4.2,"This is a healthy form of Rasam which is made from Long Peppers. Long Peppers has been proven as prevention of many forms of cancers. This can be consumed as soup. Long peppers help in bronchitis, asthma, increases immunity, improves digestion and remove toxins. Certified organic products are only used.",85.0,85.0,0.0
475,Gold Caramel Candy,Snacks & Branded Foods,Chocolates & Candies,ALPENLIEBE,50.0,50.0,"Toffee, Candy & Lollypop",4.3,"Your trusted brand, Alpenliebe is known for its exceptionally smooth and creamy, melt-in-your-mouth qualities. Full of milky richness, Alpenliebe Gold is a fun-filled candy to have at any time of the day. Show your loved ones how much they mean to you by sharing Alpenliebe candies with them. Alpenliebe – bring hearts closer",50.0,50.0,0.0
480,Bounce Biscuits - Elaichi Creme,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,27.0,30.0,Cream Biscuits & Wafers,4.1,"Deliciously creamy and deliciously fun - Sunfeast Bounce. These biscuits are available in four tasty flavours- Chocolate, Orange, Elaichi and Pineapple. The flavoured biscuit shell encasing the soft creamy centre transports you to a world of fun and excitement!",27.0,27.0,10.0
503,Chocolate Biscuits - Cream 4 Fun,Snacks & Branded Foods,Biscuits & Cookies,Dukes,25.0,30.0,Cream Biscuits & Wafers,4.0,Dukes Bourbon Biscuits are not only tasty; it has the goodness of chocolate taste. It gives real aroma of chocolates makes you go enticing and induce you to take bites over and over. Each bite of this biscuit is a delicacy for your taste buds.,25.0,25.0,16.666666666666664
531,Jeera Nibbles,Snacks & Branded Foods,Biscuits & Cookies,Dukes,39.0,50.0,Salted Biscuits,4.1,"Dukes Jeera Nibbles is a tasty and crunchy baked snack, that gives you a typical Indian taste to fall in love with the delicious flavour of this crispy bite. This snack coupled with tea/coffee can really make your mornings and evenings full of happiness.",39.0,39.0,22.0
536,Sesame Chikki,Snacks & Branded Foods,Indian Mithai,Paper Boat,300.0,300.0,Chikki & Gajjak,4.0,"The crunch of golden roasted sesame seeds, the earthy sweetness of jaggery - it is a match made in heaven. Imagine heavenly blend simply melting in your mouth as you're transcended back to fonder days, Yass, that's what we are talking about! But don't take our word for it, go on, give it a try, you'll come back again for more, we swear!",300.0,300.0,0.0
537,Jerk Sauce,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Bechef,160.0,200.0,Chilli & Soya Sauce,5.0,Bechef Jerk Sauce is Delicious Hot Sauce and marinade made in Jamaican Style. This Hot Sauce is famous for its peppery finish and rounded flavours imparted by Allspice and Soya Sauce.,160.0,160.0,20.0
552,"Granola - Choco, Almond & Cookies",Snacks & Branded Foods,Breakfast Cereals,Fit & Flex,245.0,265.0,Granola & Cereal Bars,4.2,"Granola often considered as a breakfast food or a snack is a mixture consisting of rolled oats, nuts, seeds, honey or other sweeteners. Highly nutritious, this snack food can boost up your energy in a small serving as it is power-packed with the recommended daily requirement of nutrients and vitamins. Fit & Flex Granola is baked with multigrain crispies that consists of Wheat, Oats, Rice, Maize flour. It is loaded with Chocolaty Cookies along with traces of Almond Flakes. Our granola is perfectly baked from all side until it attains a crispy, toasted and golden-brown coloured desired texture to give you that feeling of a crunchy snack.",245.0,245.0,7.547169811320755
561,Mix - Rava Dosai,Snacks & Branded Foods,Ready To Cook & Eat,Gits,60.0,60.0,Breakfast & Snack Mixes,4.3,"Gits Rava Dosai Mix is a tasty, crunchy, semolina pancake, prepared plain or with spicy vegetable/mince filling. It is usually served with sambhar and coconut chutney.",60.0,60.0,0.0
570,Jalapeno Pasta Sauce 385 g + Sriracha Chilli Sauce 185 g + Hot Sauce 75 ml,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Habanero,475.2,528.0,Chilli & Soya Sauce,4.2,"Habanero Jalapeno Pasta Sauce 385 g: Our delicious and chunky sauce is made from fresh, natural ingredients and with an extra helping of Jalapenos to spice up your day. Habanero pasta sauce is slowly simmered to give you an authentic taste. Enjoy our sauce with your favourite pasta or vegetables.
Habanero Sriracha Chilli Sauce 185 g: Habanero Sriracha Chilli Sauce – Add a tinge of flavour to every dish with our Sriracha Sauce. A delicious mix of fermented jalapeno chilli pepper, garlic, sugar, salt, and vinegar. Our Sriracha Sauce adds the tanginess to anything you cook.  Relish the sauce with Fried, Rice cakes, sandwiches, fried vegetables, burgers, pizza and more.
Habanero Hot Sauce 75 ml: Habanero's Hot Sauce is a yummy and spicy condiment for your fries and burgers. There is nothing that improves an austere soup dinner like a slice of crusty bread, toasted with a generous dollop of hot sauce and a sprinkle of cheddar cheese.",475.2,475.2,10.000000000000002
