index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct,brand_premium_index,price_retention
246,"Gokshuradi Guggulu - Urinary Disorders, 500mg",Beauty & Hygiene,Health & Medicine,Sri Sri Tattva,80.0,80.0,Ayurveda,4.0,"Gokshuradi Guggulu is effective in Renal Colic and Urinary Disorders, Dysuria. It is useful in Calculus, Gout, Leucorrhoea and spermatic disorders.Acts as an anti-lithiatic, anti-inflammatory, anti-arthritis, anti-hypertensive, anti-gout, analgesic, muscle relaxant and adaptogenicHelps to maintain a healthy metabolismRemove toxins from the system and supports a healthy urinary systemAlso used in the treatment of gall bladder disorder, Kidney disease, corpulence (obesity) and skin disorders",80.0,80.0,0.0,127.6686046511628,1.0
247,Peach Shine Lip Care,Beauty & Hygiene,Skin Care,Himalaya,112.5,150.0,Lip Care,4.0,"Moisturizes your lips to keep them soft and supple. Shine with Himalaya Herbals naturally glossy Peach Shine Lip Care. Our luxurious lip balm moisturizes your lips to keep them soft and supple. The moisture-retention formula with skin soothers makes your lips naturally glossy while the antioxidants and natural actives care for your lips by protecting them from environmental damage. Enriched with 100% natural colour, Vitamin E and antioxidants, Peach Shine Lip Care is free from preservatives, petroleum jelly, mineral oil and silicone. Not tested on animals.",112.5,112.5,25.0,170.1270093457944,0.75
255,Cotton Swabs,Beauty & Hygiene,Health & Medicine,SINWUAS,39.0,69.0,Cotton & Ear Buds,4.0,Keep yourself groomed and hygienic as you use these cotton earbuds. The earbuds are composed using cotton to offer a smooth and soft experience to the user. The cotton swabs protect your eardrum and let you clean off the dirt with much ease and care.,39.0,39.0,43.47826086956522,39.0,0.5652173913043478
260,Aeda Glycerine Bathing Bar - Natural Green,Beauty & Hygiene,Bath & Hand Wash,K.P. Namboodiris,35.0,35.0,Bathing Bars & Soaps,4.7,"Protect the skin from environmental damages and act as anti-ageing agent.  For Beauty tips, tricks & more visit https://bigbasket.blog/",35.0,35.0,0.0,54.888888888888886,1.0
263,Cotton Pads,Beauty & Hygiene,Health & Medicine,Tulips,80.0,80.0,Cotton & Ear Buds,4.4,"Cotton pads are pads made of cotton  For Beauty tips, tricks & more visit https://bigbasket.blog/",80.0,80.0,0.0,53.25,1.0
271,Cotton Swabs,Beauty & Hygiene,Health & Medicine,Tulips,109.0,109.0,Cotton & Ear Buds,4.0,"Cotton swabs consist of a small wad of cotton wrapped around one or both ends of a short rod, usually made of either wood  For Beauty tips, tricks & more visit https://bigbasket.blog/",109.0,109.0,0.0,53.25,1.0
277,Ayurvedic Jamun Powder,Beauty & Hygiene,Health & Medicine,Meghdoot,60.0,60.0,Ayurveda,4.0,"Meghdoot's Jamun Powder is an ayurvedic remedy which helps in controlling blood sugar level. This helps in controlling diabetes and also helps in regulating carbohydrate metabolism, stomach related disorders such as indigestion and constipation can also be relieved by its use. It is made using herbal formulation that it is safe to use. It helps to manage cholesterol levels in the body.",60.0,60.0,0.0,173.25,1.0
286,Almond & Rose Soap Value Pack,Beauty & Hygiene,Bath & Hand Wash,Himalaya,131.2,160.0,Bathing Bars & Soaps,4.3,"Himalaya Almond & Rose Soap combines 10% natural actives to restore the body's water content. This non-greasy soap leaves skin feeling soft, supple and toned. Blended with all natural ingredients such as Almond Oil and Persian Rose, this body soap deeply penetrates into the skin to hydrate it completely.",131.2,131.2,18.000000000000007,170.1270093457944,0.82
293,Acno Fight Pimple Clearing Gel,Beauty & Hygiene,Men's Grooming,Garnier Men,104.3,149.0,Face & Body,3.3,Garnier Men Pimple Clearing Pen is an S.O.S pimple product that fights pimple-causing bacteria and has a lightweight gel formula.  Garnier Men is India's No. 1 Men's Face Wash Brand.,104.3,104.3,30.000000000000004,160.44444444444446,0.7
319,Milk Delights Face Wash With Honey For Dry Skin,Beauty & Hygiene,Skin Care,Nivea,86.4,90.0,Face Care,4.2,"Presenting New Nivea Milk Delights Face Wash which has the goodness of milk proteins and moisturising honey. Formulated specifically for the dry skin, it gives you healthy-looking skin. It cleans the face from within making it healthy and dirt-free.",86.4,86.4,3.999999999999994,211.1883908045977,0.9600000000000001
