index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct,product_url,rating_value
3732,"Eggs - Free Range & Brown, Country","Eggs, Meat & Fish",Eggs,Ayur,95.0,95.0,Farm Eggs,3.5,"Ayur free range eggs are laid by a hen that is free to range lush green pastures, perch, wing flap, dust bathe, stand, lay down and lay eggs without artificial interference in the laying cycles. They have unrestricted access to outdoor (75%) and indoor living space (25%) which is about 80 times or more than that of conventional caged hen, i.e., 40 sq.ft/hen. They are also supplemented with ayurvedic herbal feed such as turmeric, garlic, amla, drumstick leaves etc, to improve immunity/disease resistance.",95.0,95.0,0.0,https://www.bigbasket.com/pd/40131161/ayur-eggs-free-range-brown-country-6-pcs/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Free%2520Range%2520Brown%2520Eggs,3.5
3743,Mutton Bones,"Eggs, Meat & Fish",Mutton & Lamb,Fresho,699.0,699.0,Fresh Mutton,3.7,"We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene. Additionally, every product is packed using food grade plastic which provides a nourishing and wholesome environment. Chef special marination is very authentic and has a fragrance that will delight your pallet, with its a mixture of exotic flavour and Indian spices.",699.0,699.0,0.0,https://www.bigbasket.com/pd/40317298/pedigree-adult-wet-dog-food-roasted-lamb-flavour-chunks-in-gravy-70-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=5&t_s=Roasted%2520Lamb%2520Flavour%2520Chunks%2520In%2520Gravy%2520Adult%2520Wet%2520Dog%2520Food,3.7
3772,Fish Fillets - Breaded,"Eggs, Meat & Fish",Fish & Seafood,Buffet ,290.0,290.0,Frozen Fish & Seafood,3.0,"Buffet Fish Fillets Breaded is a tasty light and crunchy batter or golden breadcrumbs to create succulent, simply mouth-watering fish.",290.0,290.0,0.0,n/a,3.0
3799,Chicken Seekh Kabab - Angara/Spicy,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Fresho,222.0,285.0,Chicken Sausages,3.7,"Kebabs are popular all over the world for all the right reasons. Seekh Kababs are a very popular appetiser and delicacy in most parts of the world. They are made from tender meat, add some masalas and seasoning, put it on a skewer and grilled them golden. These are not only delicious and tasty, but easy to eat but are also full of health, especially if you make them the ‘healthy way’. This Chicken Seekh Kebabs requires just a few minutes of your time and believe us, each effort that goes into making them is so worth it. Get your hands on Fresho Chicken Seekh Kabab and start cooking this mouth-watering and delicious Kebabs and serve them with hot parathas and green chutney.

Chicken kebabs are one of the most valued foods among people of all ages, throughout the world. 
Not only it forms a crucial part of various culinary traditions but it is also highly nutritious and delicious to taste. 
Seekh Kababs are a very popular appetiser and delicacy non-vegetarian snacks to be served quickly in most parts of the world.",222.0,222.0,22.105263157894736,https://www.bigbasket.com/pd/40340592/fresho-chicken-seekh-kabab-angara-spicy-350-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Angara%2520Spicy%2520Chicken%2520Seekh%2520Kabab,3.7
3849,Sausage - Chicken,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Tannys,240.0,240.0,Chicken Sausages,4.3,Processed Pre Cooked,240.0,240.0,0.0,https://www.bigbasket.com/pd/40083749/tannys-sausage-chicken-150-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Sausage%2520-%2520Chicken,4.3
3865,Sausages - Smoked Chicken,"Eggs, Meat & Fish","Sausages, Bacon & Salami",ALF-FARMS,150.0,150.0,Chicken Sausages,4.2,"When It Comes To Ready To Cook Non-Vegetarian Foods, Alf-Farms Holds A Respected Name. It Introduces This Alf-Farms Chicken Smoked Sausages Which Is Made Up Of Bread Slices, Chicken Legs, Sliced Onions And Other Spices. This Healthy Non-Vegetarian Food Adds An Extra-Ordinary Flavor To Your Regular Dish. It Comes In A Poly Pack Cover Which Will Keep The Content Safe And Make It An Easy To Carry Item.",150.0,150.0,0.0,https://www.bigbasket.com/pd/40041048/alf-farms-sausages-smoked-chicken-250-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Sausages%2520-%2520Smoked%2520Chicken,4.2
3909,Fresh Catch Prawn Torpedoes,"Eggs, Meat & Fish",Fish & Seafood,Ifb,202.5,270.0,Frozen Fish & Seafood,3.7,"Our Crunchy Prawn Torpedoes are the perfect finger food for any occasion. Trust us, your tastebuds will thank you later.",202.5,202.5,25.0,https://www.bigbasket.com/pd/40003218/ifb-fresh-catch-prawn-torpedoes-150-g-carton/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Fresh%2520Catch%2520Prawn%2520Torpedoes,3.7
3980,Chicken Smoky Pepper Strips,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Meatzza,285.0,300.0,Chicken Sausages,3.9,"Boneless chicken meat, formed, batter-coated & breadcrumbed. The chicken meat is seasoned and sauteed to perfection. These chicken strips are tasty and delicious.  Bite into these chicken strips every weekend.  Enjoy it with family and friends. Whenever you have Hunger Pangs or you are planning a party you want something quick, open a pack of Meatzza Snackers. Just heat and eat.",285.0,285.0,5.0,https://www.bigbasket.com/pd/40201002/meatzza-krispy-fried-chicken-500-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Krispy%2520Fried%2520Chicken,3.9
4030,"Mutton - Liver, Antibiotic Residue-Free, Growth Hormone-Free","Eggs, Meat & Fish",Mutton & Lamb,Fresho,699.0,699.0,Fresh Mutton,3.1,"Net WeightNumber Of PcsServing SizeStorage Temp500 g4-63-5 people0-4 deg celMutton is popular in most of the household. It is treated as a delicacy and is prepared in different joyous occasions. The juicy taste and the chewy texture make it a favourite among many. Moreover, they come with a lot of health benefits. It is packed with protein, saturated fat, iron, zinc and B vitamins. The mutton liver is one of the tastiest parts. It is indulged in a variety of dishes and is considered a delicacy. This comes in 4-6 pcs which are perfect for 3-5 people. The Add-on Benefits of Fresho Mutton: • Premium quality • Tender Meat • Processed and packed under strict hygienic condition. Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",699.0,699.0,0.0,n/a,3.1
4137,Pork Premium Bacon Bits,"Eggs, Meat & Fish","Sausages, Bacon & Salami",La Carne,250.0,250.0,Pork & Ham,4.1,"At La Carne, we take pride in offering products of high quality. La Carne brings to you the authentic taste of premium Imported Pork Products. Quick Freezing technology used to preserve all the goodness and freshness inside. Made with best of European Pork meat, which is lean with low fat. Natural wood smoked bacon bits, ideal for sprinkling in salads, scrambled eggs, pizza or rice.",250.0,250.0,0.0,https://www.bigbasket.com/pd/40162596/la-carne-pork-premium-bacon-bits-250-g-pkt/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Pork%2520Premium%2520Bacon%2520Bits,4.1
4154,"Pork - Hungarian Salami, Sliced","Eggs, Meat & Fish","Sausages, Bacon & Salami",Fresho Signature,182.4,202.67,Pork & Ham,2.8,"Casanova the Hungarian salami is a unique sausage which is smoked and has white mold. In the traditional process the use of starter cultures and sugars are not allowed. The sausage should not exhibit any acidity. The recipe below contains very little sugar, just to provide a margin of safety during the first stage of fermentation. Manufactured at Spain. Packed as per Customer requirement. Not a standard pack under weights & Measurement Guidelines. Consume within 05 days from date of Packing. Store in refrigerator at or below 05 degree C in an airtight container.",182.4,182.4,10.001480238811853,https://www.bigbasket.com/pd/40094866/fresho-signature-pork-hungarian-salami-sliced-100-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Pork%2520-%2520Hungarian%2520Salami%252C%2520Sliced,2.8
4163,Chicken Tandoori Tikka,"Eggs, Meat & Fish","Sausages, Bacon & Salami",La Carne,375.0,375.0,Chicken Sausages,4.0,"At La Carne, we take pride in offering products of high quality. La Carne brings to you the authentic taste of premium Chicken Products. Quick Freezing technology used to preserve all the goodness and freshness inside. Made with lean ground chicken with low fat. Chicken Tandoori Tikka is a tender and traditionally marinated chicken cubes, ideal for delectable wraps and snack for parties.",375.0,375.0,0.0,https://www.bigbasket.com/pd/40161844/la-carne-chicken-tandoori-tikka-500-g-pkt/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Chicken%2520Tandoori%2520Tikka,4.0
4171,Sausage - Cocktail Chicken Frankfurters,"Eggs, Meat & Fish","Sausages, Bacon & Salami",La Carne,300.0,300.0,Chicken Sausages,4.0,"Chicken meat (84%), Water, Edible Salt, Soya, Edible Strach, Dextrose, yeast extract, Anti-oxidant-300, Emulsifier 452, Herbs & spicies, vegetable Powder, Colour Fixative-250. Contains permitted natural flavour.",300.0,300.0,0.0,https://www.bigbasket.com/pd/40063444/la-carne-sausage-cocktail-chicken-frankfurters-200-g-pouch/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Sausage%2520-%2520Cocktail%2520Chicken%2520Frankfurters,4.0
4250,Prawns Chettinad Curry,"Eggs, Meat & Fish",Fish & Seafood,Gadre,254.15,299.0,Frozen Fish & Seafood,3.7,Prawns Chettinad Curry is made with combining Prawns with tangy South Indian flavour curry. A tangy onion tomato based gravy from south India. Succulent prawns entrée mildly. Prawns are a great source of high-quality protein and it also provides some of the most important vitamins and minerals that makes up a healthy diet.,254.15,254.15,15.0,https://www.bigbasket.com/pd/40220299/curry-tree-ready-to-cook-chettinad-masala-paste-100-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=38&t_s=Ready%2520To%2520Cook%2520-%2520Chettinad%2520Masala%2520Paste,3.7
