pair_number,pair_name,test_number,test_name,target_data_percentage,training_mode,training_time,silhouette_score,davies_bouldin_index,calinski_harabasz,inertia,n_clusters,prediction_time,n_samples,train_samples,test_samples,optimal_k
4,Pair 4: Premium → Mass-Market Beauty,5,Train from Scratch,100,from_scratch,0.11601972579956055,0.5421160891298897,0.5499123393140972,2925.890262691579,21025050.89841157,3,0.003509998321533203,1200,,,3.0
5,"Pair 5: Eggs, Meat & Fish → Baby Care",1,Zero-Shot Transfer,0,transfer_only,0.0,0.3093828583496931,0.9723960235401806,707.0146112688739,1689.9236932892823,3,0.00046944618225097656,1200,,,
5,"Pair 5: Eggs, Meat & Fish → Baby Care",2,Fine-tune 10%,10,finetune,0.08082771301269531,0.5924415866484616,0.5131776121212456,2371.89340940751,346290896.5929229,3,0.004001617431640625,1080,120.0,1080.0,
5,"Pair 5: Eggs, Meat & Fish → Baby Care",3,Fine-tune 20%,20,finetune,0.06960272789001465,0.5720002347457246,0.5676078883741543,2192.246372524854,539233250.2338027,3,0.004950761795043945,960,240.0,960.0,
5,"Pair 5: Eggs, Meat & Fish → Baby Care",4,Fine-tune 50%,50,finetune,0.08245992660522461,0.570679891938132,0.5487117547483749,1392.9054165036102,1646770854.3161507,3,0.009235143661499023,600,600.0,600.0,
5,"Pair 5: Eggs, Meat & Fish → Baby Care",5,Train from Scratch,100,from_scratch,0.1068718433380127,0.5743035951273828,0.5533872089958755,2844.853505977691,3408884971.942216,3,0.005558490753173828,1200,,,3.0
6,"Pair 6: Baby Care → Bakery, Cakes & Dairy",1,Zero-Shot Transfer,0,transfer_only,0.0,0.3037956343093312,0.7250146367144822,736.3254835776912,1377.9734747603811,3,0.002122163772583008,1200,,,
6,"Pair 6: Baby Care → Bakery, Cakes & Dairy",2,Fine-tune 10%,10,finetune,0.10600566864013672,0.6079495585368871,0.5611864459970389,2609.4283151078557,36255278.27172782,3,0.006016731262207031,1080,120.0,1080.0,
6,"Pair 6: Baby Care → Bakery, Cakes & Dairy",3,Fine-tune 20%,20,finetune,0.0845940113067627,0.6078852762261792,0.5683864850640079,2266.351794734644,69452745.78751972,3,0.003509521484375,960,240.0,960.0,
6,"Pair 6: Baby Care → Bakery, Cakes & Dairy",4,Fine-tune 50%,50,finetune,0.1132504940032959,0.6010473656314933,0.5648647055562042,1594.9126848636479,219183598.46818775,3,0.006264686584472656,600,600.0,600.0,
6,"Pair 6: Baby Care → Bakery, Cakes & Dairy",5,Train from Scratch,100,from_scratch,0.11370229721069336,0.608880668924661,0.561673611236832,2949.693314956576,421251327.36425436,3,0.0040094852447509766,1200,,,3.0
7,Pair 7: Beverages → Gourmet & World Food,1,Zero-Shot Transfer,0,transfer_only,0.0,0.3486957998248862,0.9236593970842487,690.5625466688331,1728.9426023421993,3,0.0,1200,,,
7,Pair 7: Beverages → Gourmet & World Food,2,Fine-tune 10%,10,finetune,0.10316586494445801,0.5857109883234871,0.5387119327043827,1878.8355973905202,211929435.83914542,3,0.009016275405883789,1080,120.0,1080.0,
7,Pair 7: Beverages → Gourmet & World Food,3,Fine-tune 20%,20,finetune,0.10564279556274414,0.5637570269621562,0.611432801845759,1515.9152427022286,332565810.2246743,3,0.0060155391693115234,960,240.0,960.0,
7,Pair 7: Beverages → Gourmet & World Food,4,Fine-tune 50%,50,finetune,0.11945462226867676,0.582326534398354,0.5820453447883829,1081.106249741022,967732408.8600978,3,0.006018161773681641,600,600.0,600.0,
7,Pair 7: Beverages → Gourmet & World Food,5,Train from Scratch,100,from_scratch,0.1201319694519043,0.5910723526861678,0.542656213995009,2179.578871803751,1991628060.1351666,3,0.0040225982666015625,1200,,,3.0
